rank,category,confidence,id_name,family,winols,ghidra,hub,delta,map_start,same_9979,atlas_id,atlas_addr,atlas_cols,atlas_rows,atlas_length,folder,fam_label,call_site,notes
130,soi,medium,soi_base_int_trq2A,soi_base_int_trq2A,0x19A3C8,0x8019A3C8,E,0x48,0x19A380,1,soi_base_int_trq2A,18C380,16,16,512,Start of injection SOI,E_fam_unkX_unkY_19A3C8,0x800FA3F0,medium: pointe DANS soi_base_int_trq2A @0x19A380 +0x48 (Start of injection SOI) - pas le debut; comment only; identique 64o vs 9979 au meme offset; fp32=799f1476101e uniq_u16=29
131,soi,medium,soi_base_int_trq2A,soi_base_int_trq2A,0x19A5C8,0x8019A5C8,2d,0x48,0x19A580,1,soi_base_int_trq2A,18C380,16,16,512,Start of injection SOI,fam_unkX_unkY_19A5C8,0x800F953A,medium: pointe DANS soi_base_int_trq2A @0x19A580 +0x48 (Start of injection SOI) - pas le debut; comment only; identique 64o vs 9979 au meme offset; fp32=be6820ad1e07 uniq_u16=28
132,soi,medium,soi_base_int_trq2A,soi_base_int_trq2A,0x19A7D0,0x8019A7D0,B,0x50,0x19A780,1,soi_base_int_trq2A,18C380,16,16,512,Start of injection SOI,B_fam_D0001FB4_unkY_19A7D0,0x800AEF4C,medium: pointe DANS soi_base_int_trq2A @0x19A780 +0x50 (Start of injection SOI) - pas le debut; comment only; identique 64o vs 9979 au meme offset; fp32=96f8720217c4 uniq_u16=27
133,soi,medium,soi_base_int_trq2A,soi_base_int_trq2A,0x19ADD0,0x8019ADD0,C,0x50,0x19AD80,1,soi_base_int_trq2A,18C380,16,16,512,Start of injection SOI,C_fam_D0002800_D0000808_19ADD0,0x8009B98A,medium: pointe DANS soi_base_int_trq2A @0x19AD80 +0x50 (Start of injection SOI) - pas le debut; comment only; identique 64o vs 9979 au meme offset; fp32=96f8720217c4 uniq_u16=27
134,soi,medium,soi_base_int_trq2A,soi_base_int_trq2A,0x19A3D4,0x8019A3D4,2d,0x54,0x19A380,1,soi_base_int_trq2A,18C380,16,16,512,Start of injection SOI,fam_unkX_unkY_19A3D4,0x800EF718,medium: pointe DANS soi_base_int_trq2A @0x19A380 +0x54 (Start of injection SOI) - pas le debut; comment only; identique 64o vs 9979 au meme offset; fp32=e17e55f4e333 uniq_u16=26
135,soi,medium,soi_base_int_trq2A,soi_base_int_trq2A,0x1997D8,0x801997D8,2d,0x58,0x199780,1,soi_base_int_trq2A,18C380,16,16,512,Start of injection SOI,fam_D0001FA2_unkY_1997D8,0x800AE048,medium: pointe DANS soi_base_int_trq2A @0x199780 +0x58 (Start of injection SOI) - pas le debut; comment only; identique 64o vs 9979 au meme offset; fp32=faace13a578f uniq_u16=13
136,soi,medium,soi_base_int_trq2A,soi_base_int_trq2A,0x1993E0,0x801993E0,C,0x60,0x199380,1,soi_base_int_trq2A,18C380,16,16,512,Start of injection SOI,C_fam_unkX_D0002754_1993E0,0x800FC2C8,medium: pointe DANS soi_base_int_trq2A @0x199380 +0x60 (Start of injection SOI) - pas le debut; comment only; identique 64o vs 9979 au meme offset; fp32=8cf8feab4768 uniq_u16=19
137,soi,medium,soi_base_int_trq2A,soi_base_int_trq2A,0x1997E8,0x801997E8,C,0x68,0x199780,1,soi_base_int_trq2A,18C380,16,16,512,Start of injection SOI,C_fam_unkX_unkY_1997E8,0x800ADE62,medium: pointe DANS soi_base_int_trq2A @0x199780 +0x68 (Start of injection SOI) - pas le debut; comment only; identique 64o vs 9979 au meme offset; fp32=43eb762b04a5 uniq_u16=12
138,soi,medium,soi_base_int_trq2A,soi_base_int_trq2A,0x19A7EC,0x8019A7EC,C,0x6C,0x19A780,1,soi_base_int_trq2A,18C380,16,16,512,Start of injection SOI,C_fam_D0001F2A_D0001F34_19A7EC,0x801125E6,medium: pointe DANS soi_base_int_trq2A @0x19A780 +0x6C (Start of injection SOI) - pas le debut; comment only; identique 64o vs 9979 au meme offset; fp32=4f061747de5a uniq_u16=25
139,soi,medium,soi_base_int_trq2A,soi_base_int_trq2A,0x19ABEC,0x8019ABEC,L,0x6C,0x19AB80,1,soi_base_int_trq2A,18C380,16,16,512,Start of injection SOI,L_fam_unkX_unkY_19ABEC,0x800A49DA,medium: pointe DANS soi_base_int_trq2A @0x19AB80 +0x6C (Start of injection SOI) - pas le debut; comment only; identique 64o vs 9979 au meme offset; fp32=af8f283c4c1a uniq_u16=23
140,soi,medium,soi_base_int_trq2A,soi_base_int_trq2A,0x18DBF0,0x8018DBF0,I,0x70,0x18DB80,1,soi_base_int_trq2A@18DB80,18DB80,16,16,512,Start of injection SOI,I_fam_unkX_unkY_18DBF0,0x800925AE,medium: pointe DANS soi_base_int_trq2A @0x18DB80 +0x70 (Start of injection SOI) - pas le debut; comment only; identique 64o vs 9979 au meme offset; fp32=d02b0dd02f8f uniq_u16=9
141,soi,medium,soi_base_int_trq2A,soi_base_int_trq2A,0x1993F0,0x801993F0,2d,0x70,0x199380,1,soi_base_int_trq2A,18C380,16,16,512,Start of injection SOI,fam_D0002780_D0002782_1993F0,0x800FB4CC,medium: pointe DANS soi_base_int_trq2A @0x199380 +0x70 (Start of injection SOI) - pas le debut; comment only; identique 64o vs 9979 au meme offset; fp32=707439c7b404 uniq_u16=16
142,soi,medium,soi_base_int_trq2A,soi_base_int_trq2A,0x1997F4,0x801997F4,B,0x74,0x199780,1,soi_base_int_trq2A,18C380,16,16,512,Start of injection SOI,B_fam_unkX_unkY_1997F4,0x800C69C8,medium: pointe DANS soi_base_int_trq2A @0x199780 +0x74 (Start of injection SOI) - pas le debut; comment only; identique 64o vs 9979 au meme offset; fp32=dc66406b5fb5 uniq_u16=11
143,soi,medium,soi_base_int_trq2A,soi_base_int_trq2A,0x19ADF4,0x8019ADF4,N,0x74,0x19AD80,1,soi_base_int_trq2A,18C380,16,16,512,Start of injection SOI,N_fam_unkX_unkY_19ADF4,0x800C8612,medium: pointe DANS soi_base_int_trq2A @0x19AD80 +0x74 (Start of injection SOI) - pas le debut; comment only; identique 64o vs 9979 au meme offset; fp32=6a5eca574e4e uniq_u16=27
144,soi,medium,soi_base_int_trq2A,soi_base_int_trq2A,0x198BF8,0x80198BF8,H,0x78,0x198B80,1,soi_base_int_trq2A,18C380,16,16,512,Start of injection SOI,H_fam_unkX_unkY_198BF8,0x800A492C,medium: pointe DANS soi_base_int_trq2A @0x198B80 +0x78 (Start of injection SOI) - pas le debut; comment only; identique 64o vs 9979 au meme offset; fp32=837711c9ffc4 uniq_u16=10
145,soi,medium,soi_base_int_trq2A,soi_base_int_trq2A,0x1909FC,0x801909FC,D,0x7C,0x190980,1,soi_base_int_trq2A@190980,190980,16,16,512,Start of injection SOI,D_fam_unkX_unkY_1909FC,0x80094C46,medium: pointe DANS soi_base_int_trq2A @0x190980 +0x7C (Start of injection SOI) - pas le debut; comment only; identique 64o vs 9979 au meme offset; fp32=4fb819a36d9b uniq_u16=22
146,soi,medium,soi_base_int_trq2A,soi_base_int_trq2A,0x19A5FC,0x8019A5FC,D,0x7C,0x19A580,1,soi_base_int_trq2A,18C380,16,16,512,Start of injection SOI,D_fam_unkX_unkY_19A5FC,0x800E0C50,medium: pointe DANS soi_base_int_trq2A @0x19A580 +0x7C (Start of injection SOI) - pas le debut; comment only; identique 64o vs 9979 au meme offset; fp32=d353b7b11453 uniq_u16=17
147,soi,medium,soi_base_int_trq2A,soi_base_int_trq2A,0x18EC00,0x8018EC00,F,0x80,0x18EB80,1,soi_base_int_trq2A@18EB80,18EB80,16,16,512,Start of injection SOI,F_fam_unkX_unkY_18EC00,0x80092526,medium: pointe DANS soi_base_int_trq2A @0x18EB80 +0x80 (Start of injection SOI) - pas le debut; comment only; identique 64o vs 9979 au meme offset; fp32=424d70699458 uniq_u16=20
148,soi,medium,soi_base_int_trq2A,soi_base_int_trq2A,0x18CC0C,0x8018CC0C,I,0x8C,0x18CB80,1,soi_base_int_trq2A@18CB80,18CB80,16,16,512,Start of injection SOI,I_fam_unkX_D0002BFA_18CC0C,0x80094A4C,medium: pointe DANS soi_base_int_trq2A @0x18CB80 +0x8C (Start of injection SOI) - pas le debut; comment only; identique 64o vs 9979 au meme offset; fp32=a86af58abb38 uniq_u16=16
149,soi,medium,soi_base_int_trq2A,soi_base_int_trq2A,0x19940C,0x8019940C,D,0x8C,0x199380,1,soi_base_int_trq2A,18C380,16,16,512,Start of injection SOI,D_fam_unkX_unkY_19940C,0x800E2CAA,medium: pointe DANS soi_base_int_trq2A @0x199380 +0x8C (Start of injection SOI) - pas le debut; comment only; identique 64o vs 9979 au meme offset; fp32=c189ad71ccbe uniq_u16=19
150,soi,medium,soi_base_int_trq2A,soi_base_int_trq2A,0x18EA14,0x8018EA14,D,0x94,0x18E980,1,soi_base_int_trq2A@18E980,18E980,16,16,512,Start of injection SOI,D_fam_unkX_unkY_18EA14,0x800927C0,medium: pointe DANS soi_base_int_trq2A @0x18E980 +0x94 (Start of injection SOI) - pas le debut; comment only; identique 64o vs 9979 au meme offset; fp32=4cad6db99bd7 uniq_u16=17
151,soi,medium,soi_base_int_trq2A,soi_base_int_trq2A,0x19AC28,0x8019AC28,G,0xA8,0x19AB80,1,soi_base_int_trq2A,18C380,16,16,512,Start of injection SOI,G_fam_D0010000_D000BADA_19AC28,0x8009B5A2,medium: pointe DANS soi_base_int_trq2A @0x19AB80 +0xA8 (Start of injection SOI) - pas le debut; comment only; identique 64o vs 9979 au meme offset; fp32=77ee5fb924e9 uniq_u16=19
152,soi,medium,soi_base_int_trq2A,soi_base_int_trq2A,0x18DC30,0x8018DC30,E,0xB0,0x18DB80,1,soi_base_int_trq2A@18DB80,18DB80,16,16,512,Start of injection SOI,E_fam_D0002BEC_unkY_18DC30,0x8009300C,medium: pointe DANS soi_base_int_trq2A @0x18DB80 +0xB0 (Start of injection SOI) - pas le debut; comment only; identique 64o vs 9979 au meme offset; fp32=dd01b7126b93 uniq_u16=18
153,soi,medium,soi_base_int_trq2A,soi_base_int_trq2A,0x192C34,0x80192C34,I,0xB4,0x192B80,1,soi_base_int_trq2A,18C380,16,16,512,Start of injection SOI,I_fam_unkX_unkY_192C34,0x800926A4,medium: pointe DANS soi_base_int_trq2A @0x192B80 +0xB4 (Start of injection SOI) - pas le debut; comment only; identique 64o vs 9979 au meme offset; fp32=0173eee38451 uniq_u16=19
154,soi,medium,soi_base_int_trq2A,soi_base_int_trq2A,0x19A438,0x8019A438,C,0xB8,0x19A380,1,soi_base_int_trq2A,18C380,16,16,512,Start of injection SOI,C_fam_unkX_unkY_19A438,0x80087920,medium: pointe DANS soi_base_int_trq2A @0x19A380 +0xB8 (Start of injection SOI) - pas le debut; comment only; identique 64o vs 9979 au meme offset; fp32=590f5c5ac193 uniq_u16=24
155,soi,medium,soi_base_int_trq2A,soi_base_int_trq2A,0x199640,0x80199640,G,0xC0,0x199580,1,soi_base_int_trq2A,18C380,16,16,512,Start of injection SOI,G_fam_D00022AA_unkY_199640,0x800F0652,medium: pointe DANS soi_base_int_trq2A @0x199580 +0xC0 (Start of injection SOI) - pas le debut; comment only; identique 64o vs 9979 au meme offset; fp32=8d5b9e745fcf uniq_u16=20
156,soi,medium,soi_base_int_trq2A,soi_base_int_trq2A,0x19A644,0x8019A644,F,0xC4,0x19A580,1,soi_base_int_trq2A,18C380,16,16,512,Start of injection SOI,F_fam_unkX_unkY_19A644,0x800F029A,medium: pointe DANS soi_base_int_trq2A @0x19A580 +0xC4 (Start of injection SOI) - pas le debut; comment only; identique 64o vs 9979 au meme offset; fp32=f6c03f5a2aed uniq_u16=24
157,soi,medium,soi_base_int_trq2A,soi_base_int_trq2A,0x18CA48,0x8018CA48,D,0xC8,0x18C980,1,soi_base_int_trq2A@18C980,18C980,16,16,512,Start of injection SOI,D_fam_unkX_unkY_18CA48,0x80093560,medium: pointe DANS soi_base_int_trq2A @0x18C980 +0xC8 (Start of injection SOI) - pas le debut; comment only; identique 64o vs 9979 au meme offset; fp32=83bfb61653c0 uniq_u16=21
158,soi,medium,soi_base_int_trq2A,soi_base_int_trq2A,0x18D848,0x8018D848,F,0xC8,0x18D780,0,soi_base_int_trq2A@18D780,18D780,16,16,512,Start of injection SOI,F_fam_unkX_unkY_18D848,0x800E5EF2,medium: pointe DANS soi_base_int_trq2A @0x18D780 +0xC8 (Start of injection SOI) - pas le debut; comment only; differe de 9979 au meme offset; fp32=5bf45e796984 uniq_u16=21
159,soi,medium,soi_base_int_trq2A,soi_base_int_trq2A,0x199448,0x80199448,E,0xC8,0x199380,1,soi_base_int_trq2A,18C380,16,16,512,Start of injection SOI,E_fam_D000248E_D000247C_199448,0x80087894,medium: pointe DANS soi_base_int_trq2A @0x199380 +0xC8 (Start of injection SOI) - pas le debut; comment only; identique 64o vs 9979 au meme offset; fp32=aafd5d76bd43 uniq_u16=17
160,soi,medium,soi_base_int_trq2A,soi_base_int_trq2A,0x19A44C,0x8019A44C,C,0xCC,0x19A380,1,soi_base_int_trq2A,18C380,16,16,512,Start of injection SOI,C_fam_unkX_unkY_19A44C,0x8007C648,medium: pointe DANS soi_base_int_trq2A @0x19A380 +0xCC (Start of injection SOI) - pas le debut; comment only; identique 64o vs 9979 au meme offset; fp32=acc87daf861b uniq_u16=25
161,soi,medium,soi_base_int_trq2A,soi_base_int_trq2A,0x191A50,0x80191A50,D,0xD0,0x191980,1,soi_base_int_trq2A,18C380,16,16,512,Start of injection SOI,D_fam_unkX_D0002BF2_191A50,0x80094BD8,medium: pointe DANS soi_base_int_trq2A @0x191980 +0xD0 (Start of injection SOI) - pas le debut; comment only; identique 64o vs 9979 au meme offset; fp32=3acd96879efb uniq_u16=30
162,soi,medium,soi_base_int_trq2A,soi_base_int_trq2A,0x19A654,0x8019A654,D,0xD4,0x19A580,1,soi_base_int_trq2A,18C380,16,16,512,Start of injection SOI,D_fam_unkX_unkY_19A654,0x800CB7D2,medium: pointe DANS soi_base_int_trq2A @0x19A580 +0xD4 (Start of injection SOI) - pas le debut; comment only; identique 64o vs 9979 au meme offset; fp32=fe42a97d6e97 uniq_u16=27
163,soi,medium,soi_base_int_trq2A,soi_base_int_trq2A,0x18C858,0x8018C858,2d,0xD8,0x18C780,1,soi_base_int_trq2A@18C780,18C780,16,16,512,Start of injection SOI,fam_unkX_unkY_18C858,0x800DD096,medium: pointe DANS soi_base_int_trq2A @0x18C780 +0xD8 (Start of injection SOI) - pas le debut; comment only; identique 64o vs 9979 au meme offset; fp32=021781989418 uniq_u16=32
164,soi,medium,soi_base_int_trq2A,soi_base_int_trq2A,0x18CA58,0x8018CA58,D,0xD8,0x18C980,1,soi_base_int_trq2A@18C980,18C980,16,16,512,Start of injection SOI,D_fam_unkX_unkY_18CA58,0x800934E0,medium: pointe DANS soi_base_int_trq2A @0x18C980 +0xD8 (Start of injection SOI) - pas le debut; comment only; identique 64o vs 9979 au meme offset; fp32=81a26b496695 uniq_u16=23
165,soi,medium,soi_base_int_trq2A,soi_base_int_trq2A,0x195A58,0x80195A58,D,0xD8,0x195980,1,soi_base_int_trq2A,18C380,16,16,512,Start of injection SOI,D_fam_unkX_D0002BFA_195A58,0x80094A68,medium: pointe DANS soi_base_int_trq2A @0x195980 +0xD8 (Start of injection SOI) - pas le debut; comment only; identique 64o vs 9979 au meme offset; fp32=bc4079031cbc uniq_u16=20
166,soi,medium,soi_base_int_trq2A,soi_base_int_trq2A,0x19945C,0x8019945C,C,0xDC,0x199380,1,soi_base_int_trq2A,18C380,16,16,512,Start of injection SOI,C_fam_D00028DC_D00028F2_19945C,0x800C5524,medium: pointe DANS soi_base_int_trq2A @0x199380 +0xDC (Start of injection SOI) - pas le debut; comment only; identique 64o vs 9979 au meme offset; fp32=7b69a85fd64e uniq_u16=21
167,soi,medium,soi_base_int_trq2A,soi_base_int_trq2A,0x192A60,0x80192A60,D,0xE0,0x192980,1,soi_base_int_trq2A,18C380,16,16,512,Start of injection SOI,D_fam_unkX_D0002BF4_192A60,0x80094C7A,medium: pointe DANS soi_base_int_trq2A @0x192980 +0xE0 (Start of injection SOI) - pas le debut; comment only; identique 64o vs 9979 au meme offset; fp32=21a23760bbec uniq_u16=24
168,soi,medium,soi_base_int_trq2A,soi_base_int_trq2A,0x197A60,0x80197A60,D,0xE0,0x197980,1,soi_base_int_trq2A,18C380,16,16,512,Start of injection SOI,D_fam_D0002824_D0002814_197A60,0x8009968E,medium: pointe DANS soi_base_int_trq2A @0x197980 +0xE0 (Start of injection SOI) - pas le debut; comment only; identique 64o vs 9979 au meme offset; fp32=7ba03bbf31ed uniq_u16=12
169,soi,medium,soi_base_int_trq2A,soi_base_int_trq2A,0x19A468,0x8019A468,2d,0xE8,0x19A380,1,soi_base_int_trq2A,18C380,16,16,512,Start of injection SOI,fam_unkX_unkY_19A468,0x8007F178,medium: pointe DANS soi_base_int_trq2A @0x19A380 +0xE8 (Start of injection SOI) - pas le debut; comment only; identique 64o vs 9979 au meme offset; fp32=34fe461b4ff5 uniq_u16=30
170,soi,medium,soi_base_int_trq2A,soi_base_int_trq2A,0x18EA6C,0x8018EA6C,K,0xEC,0x18E980,1,soi_base_int_trq2A@18E980,18E980,16,16,512,Start of injection SOI,K_fam_unkX_unkY_18EA6C,0x80092598,medium: pointe DANS soi_base_int_trq2A @0x18E980 +0xEC (Start of injection SOI) - pas le debut; comment only; identique 64o vs 9979 au meme offset; fp32=9726cfc64e89 uniq_u16=21
171,soi,medium,soi_base_int_trq2A,soi_base_int_trq2A,0x19946C,0x8019946C,C,0xEC,0x199380,1,soi_base_int_trq2A,18C380,16,16,512,Start of injection SOI,C_fam_unkX_D0003018_19946C,0x8008637C,medium: pointe DANS soi_base_int_trq2A @0x199380 +0xEC (Start of injection SOI) - pas le debut; comment only; identique 64o vs 9979 au meme offset; fp32=f6681139506a uniq_u16=25
172,soi,medium,soi_base_int_trq2A,soi_base_int_trq2A,0x18C870,0x8018C870,2d,0xF0,0x18C780,1,soi_base_int_trq2A@18C780,18C780,16,16,512,Start of injection SOI,fam_unkX_unkY_18C870,0x800DD0CE,medium: pointe DANS soi_base_int_trq2A @0x18C780 +0xF0 (Start of injection SOI) - pas le debut; comment only; identique 64o vs 9979 au meme offset; fp32=9d38e4680231 uniq_u16=31
173,soi,medium,soi_base_int_trq2A,soi_base_int_trq2A,0x18CA74,0x8018CA74,K,0xF4,0x18C980,1,soi_base_int_trq2A@18C980,18C980,16,16,512,Start of injection SOI,K_fam_unkX_unkY_18CA74,0x80092490,medium: pointe DANS soi_base_int_trq2A @0x18C980 +0xF4 (Start of injection SOI) - pas le debut; comment only; identique 64o vs 9979 au meme offset; fp32=95b38b27de52 uniq_u16=21
174,soi,medium,soi_base_int_trq2A,soi_base_int_trq2A,0x19A678,0x8019A678,N,0xF8,0x19A580,1,soi_base_int_trq2A,18C380,16,16,512,Start of injection SOI,N_fam_D0001D50_unkY_19A678,0x800F3ED0,medium: pointe DANS soi_base_int_trq2A @0x19A580 +0xF8 (Start of injection SOI) - pas le debut; comment only; identique 64o vs 9979 au meme offset; fp32=7b5fdcfcddd1 uniq_u16=29
175,soi,medium,soi_base_int_trq2A,soi_base_int_trq2A,0x19947C,0x8019947C,2d,0xFC,0x199380,1,soi_base_int_trq2A,18C380,16,16,512,Start of injection SOI,fam_unkX_unkY_19947C,0x80085F44,medium: pointe DANS soi_base_int_trq2A @0x199380 +0xFC (Start of injection SOI) - pas le debut; comment only; identique 64o vs 9979 au meme offset; fp32=774f3bd67e53 uniq_u16=26
176,soi,medium,soi_base_int_trq2A,soi_base_int_trq2A,0x18E080,0x8018E080,F,0x100,0x18DF80,1,soi_base_int_trq2A@18DF80,18DF80,16,16,512,Start of injection SOI,F_fam_unkX_unkY_18E080,0x8009261C,medium: pointe DANS soi_base_int_trq2A @0x18DF80 +0x100 (Start of injection SOI) - pas le debut; comment only; identique 64o vs 9979 au meme offset; fp32=e8c105090295 uniq_u16=29
177,soi,medium,soi_base_int_trq2A,soi_base_int_trq2A,0x199484,0x80199484,L,0x104,0x199380,1,soi_base_int_trq2A,18C380,16,16,512,Start of injection SOI,L_fam_unkX_unkY_199484,0x8009B7A6,medium: pointe DANS soi_base_int_trq2A @0x199380 +0x104 (Start of injection SOI) - pas le debut; comment only; identique 64o vs 9979 au meme offset; fp32=8d13ba411091 uniq_u16=26
178,soi,medium,soi_base_int_trq2A,soi_base_int_trq2A,0x19A488,0x8019A488,L,0x108,0x19A380,1,soi_base_int_trq2A,18C380,16,16,512,Start of injection SOI,L_fam_unkX_unkY_19A488,0x800B200E,medium: pointe DANS soi_base_int_trq2A @0x19A380 +0x108 (Start of injection SOI) - pas le debut; comment only; identique 64o vs 9979 au meme offset; fp32=17e29b3d8959 uniq_u16=27
179,soi,medium,soi_base_int_trq2A,soi_base_int_trq2A,0x195A8C,0x80195A8C,F,0x10C,0x195980,1,soi_base_int_trq2A,18C380,16,16,512,Start of injection SOI,F_fam_unkX_unkY_195A8C,0x8009358E,medium: pointe DANS soi_base_int_trq2A @0x195980 +0x10C (Start of injection SOI) - pas le debut; comment only; identique 64o vs 9979 au meme offset; fp32=770f6ebba6a4 uniq_u16=18
180,soi,medium,soi_base_int_trq2A,soi_base_int_trq2A,0x199490,0x80199490,J,0x110,0x199380,1,soi_base_int_trq2A,18C380,16,16,512,Start of injection SOI,J_fam_unkX_unkY_199490,0x8009A598,medium: pointe DANS soi_base_int_trq2A @0x199380 +0x110 (Start of injection SOI) - pas le debut; comment only; identique 64o vs 9979 au meme offset; fp32=ea757f7eea17 uniq_u16=25
181,soi,medium,soi_base_int_trq2A,soi_base_int_trq2A,0x19A494,0x8019A494,C,0x114,0x19A380,1,soi_base_int_trq2A,18C380,16,16,512,Start of injection SOI,C_fam_D0002D44_unkY_19A494,0x80114B3C,medium: pointe DANS soi_base_int_trq2A @0x19A380 +0x114 (Start of injection SOI) - pas le debut; comment only; identique 64o vs 9979 au meme offset; fp32=7c24c99abddf uniq_u16=27
182,soi,medium,soi_base_int_trq2A,soi_base_int_trq2A,0x196A98,0x80196A98,K,0x118,0x196980,1,soi_base_int_trq2A,18C380,16,16,512,Start of injection SOI,K_fam_unkX_unkY_196A98,0x80094994,medium: pointe DANS soi_base_int_trq2A @0x196980 +0x118 (Start of injection SOI) - pas le debut; comment only; identique 64o vs 9979 au meme offset; fp32=6a88b9434c2a uniq_u16=27
183,soi,medium,soi_base_int_trq2A,soi_base_int_trq2A,0x195A9C,0x80195A9C,F,0x11C,0x195980,1,soi_base_int_trq2A,18C380,16,16,512,Start of injection SOI,F_fam_unkX_unkY_195A9C,0x80093516,medium: pointe DANS soi_base_int_trq2A @0x195980 +0x11C (Start of injection SOI) - pas le debut; comment only; identique 64o vs 9979 au meme offset; fp32=259d43238abd uniq_u16=21
184,soi,medium,soi_base_int_trq2A,soi_base_int_trq2A,0x191AA0,0x80191AA0,K,0x120,0x191980,1,soi_base_int_trq2A,18C380,16,16,512,Start of injection SOI,K_fam_unkX_unkY_191AA0,0x8009268E,medium: pointe DANS soi_base_int_trq2A @0x191980 +0x120 (Start of injection SOI) - pas le debut; comment only; identique 64o vs 9979 au meme offset; fp32=43c5b096e94c uniq_u16=25
185,soi,medium,soi_base_int_trq2A,soi_base_int_trq2A,0x197AA8,0x80197AA8,K,0x128,0x197980,1,soi_base_int_trq2A,18C380,16,16,512,Start of injection SOI,K_fam_unkX_unkY_197AA8,0x80094A34,medium: pointe DANS soi_base_int_trq2A @0x197980 +0x128 (Start of injection SOI) - pas le debut; comment only; identique 64o vs 9979 au meme offset; fp32=5bf06c313748 uniq_u16=10
186,soi,medium,soi_base_int_trq2A,soi_base_int_trq2A,0x195AAC,0x80195AAC,K,0x12C,0x195980,1,soi_base_int_trq2A,18C380,16,16,512,Start of injection SOI,K_fam_unkX_unkY_195AAC,0x800948F2,medium: pointe DANS soi_base_int_trq2A @0x195980 +0x12C (Start of injection SOI) - pas le debut; comment only; identique 64o vs 9979 au meme offset; fp32=eba61cea37bd uniq_u16=21
187,soi,medium,soi_base_int_trq2A,soi_base_int_trq2A,0x1996B8,0x801996B8,E,0x138,0x199580,1,soi_base_int_trq2A,18C380,16,16,512,Start of injection SOI,E_fam_unkX_unkY_1996B8,0x8012072C,medium: pointe DANS soi_base_int_trq2A @0x199580 +0x138 (Start of injection SOI) - pas le debut; comment only; identique 64o vs 9979 au meme offset; fp32=4df6eaa911a8 uniq_u16=16
188,soi,medium,soi_base_int_trq2A,soi_base_int_trq2A,0x18EABC,0x8018EABC,G,0x13C,0x18E980,1,soi_base_int_trq2A@18E980,18E980,16,16,512,Start of injection SOI,G_fam_unkX_unkY_18EABC,0x800925F2,medium: pointe DANS soi_base_int_trq2A @0x18E980 +0x13C (Start of injection SOI) - pas le debut; comment only; identique 64o vs 9979 au meme offset; fp32=d66ec04e3d14 uniq_u16=21
189,soi,medium,soi_base_int_trq2A,soi_base_int_trq2A,0x1996D8,0x801996D8,I,0x158,0x199580,1,soi_base_int_trq2A,18C380,16,16,512,Start of injection SOI,I_fam_unkX_unkY_1996D8,0x800E23DC,medium: pointe DANS soi_base_int_trq2A @0x199580 +0x158 (Start of injection SOI) - pas le debut; comment only; identique 64o vs 9979 au meme offset; fp32=52780d15610f uniq_u16=16
190,soi,medium,soi_base_int_trq2A,soi_base_int_trq2A,0x18E500,0x8018E500,F,0x180,0x18E380,1,soi_base_int_trq2A@18E380,18E380,16,16,512,Start of injection SOI,F_fam_unkX_unkY_18E500,0x80092712,medium: pointe DANS soi_base_int_trq2A @0x18E380 +0x180 (Start of injection SOI) - pas le debut; comment only; identique 64o vs 9979 au meme offset; fp32=26fafd11e165 uniq_u16=15
191,soi,medium,soi_base_int_trq2A,soi_base_int_trq2A,0x18CB04,0x8018CB04,G,0x184,0x18C980,1,soi_base_int_trq2A@18C980,18C980,16,16,512,Start of injection SOI,G_fam_unkX_unkY_18CB04,0x800996A4,medium: pointe DANS soi_base_int_trq2A @0x18C980 +0x184 (Start of injection SOI) - pas le debut; comment only; identique 64o vs 9979 au meme offset; fp32=acc1e00e875c uniq_u16=13
192,soi,medium,soi_base_int_trq2A,soi_base_int_trq2A,0x196B04,0x80196B04,G,0x184,0x196980,1,soi_base_int_trq2A,18C380,16,16,512,Start of injection SOI,G_fam_unkX_D0002BF2_196B04,0x80094BEE,medium: pointe DANS soi_base_int_trq2A @0x196980 +0x184 (Start of injection SOI) - pas le debut; comment only; identique 64o vs 9979 au meme offset; fp32=fc92600ee159 uniq_u16=22
193,soi,medium,soi_base_int_trq2A,soi_base_int_trq2A,0x19A708,0x8019A708,C,0x188,0x19A580,1,soi_base_int_trq2A,18C380,16,16,512,Start of injection SOI,C_fam_unkX_unkY_19A708,0x800F1E54,medium: pointe DANS soi_base_int_trq2A @0x19A580 +0x188 (Start of injection SOI) - pas le debut; comment only; identique 64o vs 9979 au meme offset; fp32=16c9eebf3b87 uniq_u16=31
194,soi,medium,soi_base_int_trq2A,soi_base_int_trq2A,0x197B14,0x80197B14,G,0x194,0x197980,1,soi_base_int_trq2A,18C380,16,16,512,Start of injection SOI,G_fam_unkX_D0002BF4_197B14,0x80094C90,medium: pointe DANS soi_base_int_trq2A @0x197980 +0x194 (Start of injection SOI) - pas le debut; comment only; identique 64o vs 9979 au meme offset; fp32=dd14fb69c033 uniq_u16=18
195,soi,medium,soi_base_int_trq2A,soi_base_int_trq2A,0x18EB18,0x8018EB18,F,0x198,0x18E980,1,soi_base_int_trq2A@18E980,18E980,16,16,512,Start of injection SOI,F_fam_unkX_unkY_18EB18,0x80099700,medium: pointe DANS soi_base_int_trq2A @0x18E980 +0x198 (Start of injection SOI) - pas le debut; comment only; identique 64o vs 9979 au meme offset; fp32=577042b5e328 uniq_u16=14
